USER       PID %CPU %MEM   VSZ   RSS TT  STAT  STARTED       TIME COMMAND
root     23758  0.0  0.1   272    88 ??  S     12:21PM    0:00.01 sleep
root     28762  0.0  0.1   168    88 ??  S     12:21PM    0:00.01 sleep
root      6009  0.0  0.3   636   456 ??  S     12:21PM    0:00.05 sh
root     25083  0.0  0.1   248    88 ??  S     12:21PM    0:00.02 sleep
root     11053  0.0  0.1   236    88 ??  S     12:21PM    0:00.01 sleep
root      4912  0.0  0.3   644   456 ??  S     12:21PM    0:00.05 sh
root     10130  0.0  0.4   628   464 ??  S     12:21PM    0:00.04 sh
root      5123  0.7  0.8   460   988 ??  S     12:21PM    0:00.03 awk
root     14158  1.0  0.8   452   980 ??  S     12:21PM    0:00.04 awk
root      2241  1.0  0.8   600   984 ??  S     12:21PM    0:00.05 awk
root      6709  1.0  0.8   564   984 ??  S     12:21PM    0:00.03 awk
root     30486  1.5  0.8   624   980 ??  S     12:21PM    0:00.09 awk
root      6066  0.0  0.0   644     4 ??  R     12:21PM    0:00.00 sh
root     25737  0.0  0.0   332     4 ??  R     12:21PM    0:00.00 supervise
root     22814  0.0  0.4   568   504 p0  Is+   12:06PM    0:00.20 ksh
root     18004  0.0  0.4   812   544 p1  Is+    9:16AM    0:01.70 ksh
root     22040  0.0  0.4   676   504 p2  Ss     9:01AM    0:00.27 ksh
root      5888  0.0  1.9   608  2480 p2  S+    12:21PM    0:00.17 perl
root      1510  0.0  0.3   760   436 p2  S+    12:21PM    0:00.04 sh
root     29533  0.0  0.3   572   352 p2  R+    12:21PM    0:00.00 ps
costet   28489  0.0  0.4   752   496 p3  Is+   12:08PM    0:00.12 ksh
costet   10966  0.0  0.4   656   508 p4  Is     9:18AM    0:00.11 ksh
root     14665  0.0  0.4   776   492 p4  I+     9:26AM    0:00.30 ksh
costet    7098  0.0  0.4   640   496 p5  Is     9:24AM    0:00.09 ksh
root     19314  0.0  0.4   600   504 p5  I+     9:30AM    0:00.34 ksh
thibault 28441  0.0  0.4   616   496 p6  Is    10:05AM    0:00.06 ksh
root     12977  0.0  0.4   776   520 p6  I+    10:06AM    0:00.82 ksh
costet    6750  0.0  0.4   552   504 p7  Is+   10:34AM    0:00.49 ksh
root     11812  0.0  0.4   716   464 00- I      8:59AM    0:00.05 sh
root      5436  0.0  0.5   368   632 00- S      8:59AM    0:03.76 svscan
root      5540  0.0  0.4   376   464 00- S      8:59AM    0:23.46 readproctitle
root     14267  0.0  0.4   356   548 00- I      8:59AM    0:00.07 supervise
root     27109  0.0  0.4   228   548 00- I      8:59AM    0:00.07 supervise
root     22501  0.0  0.4   332   552 00- R      8:59AM    0:48.75 supervise
root     17339  0.0  0.4   260   552 00- S      8:59AM    0:52.14 supervise
dnscache 10297  0.0  1.5  1796  1948 00- I      8:59AM    0:00.30 dnscache
tinydns   3532  0.0  0.5   420   624 00- I      8:59AM    0:00.35 tinydns
root     12223  0.0  0.6   428   820 00  Is+    8:59AM    0:00.04 getty
